"ags_county";"name";"n";"mean";"sum"
"01001";"Flensburg, Stadt";192;462,378177083333;88776,61
"01002";"Kiel, Landeshauptstadt";441;508,983548752834;224461,745
"01003";"Lübeck, Hansestadt";273;54,3654798534799;14841,776
"01004";"Neumünster, Stadt";153;44,0461437908497;6739,06
"01051";"Dithmarschen";3233;431,062720692855;1393625,776
"01053";"Herzogtum Lauenburg";884;60,6407047511312;53606,383
"01054";"Nordfriesland";3152;350,043100571066;1103335,853
"01055";"Ostholstein";1533;199,763981082844;306238,183
"01056";"Pinneberg";1075;42,7841525581395;45992,964
"01057";"Plön";679;86,8398055964654;58964,228
"01058";"Rendsburg-Eckernförde";1816;248,417454295154;451126,097
"01059";"Schleswig-Flensburg";2709;217,038009228498;587955,967
"01060";"Segeberg";1079;147,391245597776;159035,154
"01061";"Steinburg";963;313,422053997923;301825,438
"01062";"Stormarn";772;58,5945142487047;45234,965
"02000";"Hamburg, Freie und Hansestadt";1461;114,933911704312;167918,445
"03101";"Braunschweig, Stadt";312;59,7963365384615;18656,457
"03102";"Salzgitter, Stadt";216;1648,21046296296;356013,46
"03103";"Wolfsburg, Stadt";499;857,051016032064;427668,457
"03151";"Gifhorn";1584;77,0703920454545;122079,501
"03153";"Goslar";632;57,491371835443;36334,547
"03154";"Helmstedt";545;265,541055045872;144719,875
"03155";"Northeim";1076;68,83618866171;74067,739
"03157";"Peine";1103;53,4191033544878;58921,271
"03158";"Wolfenbüttel";861;53,1430278745645;45756,147
"03159";"Göttingen";2652;69,5101025641026;184340,792
"03241";"Region Hannover";3328;61,5622836538462;204879,28
"03251";"Diepholz";3228;181,491801115242;585855,534
"03252";"Hameln-Pyrmont";689;247,896431059507;170800,641
"03254";"Hildesheim";1505;70,5852877076412;106230,858
"03255";"Holzminden";286;133,311608391608;38127,12
"03256";"Nienburg (Weser)";957;183,936928944619;176027,641
"03257";"Schaumburg";932;40,0879484978541;37361,968
"03351";"Celle";1147;101,906559721011;116886,824
"03352";"Cuxhaven";1285;192,90540311284;247883,443
"03353";"Harburg";1273;91,1403228593873;116021,631
"03354";"Lüchow-Dannenberg";489;65,9973415132924;32272,7
"03355";"Lüneburg";817;82,3063255813953;67244,268
"03356";"Osterholz";581;65,6024371772805;38115,016
"03357";"Rotenburg (Wümme)";1640;269,036449390244;441219,777
"03358";"Heidekreis";904;270,683668141593;244698,036
"03359";"Stade";1415;235,279207773852;332920,079
"03360";"Uelzen";608;150,069514802632;91242,265
"03361";"Verden";1065;114,391492018779;121826,939
"03401";"Delmenhorst, Stadt";161;22,0628260869565;3552,115
"03402";"Emden, Stadt";209;76,5205358851675;15992,792
"03403";"Oldenburg (Oldenburg), Stadt";483;80,5214368530021;38891,854
"03404";"Osnabrück, Stadt";760;27,9938815789474;21275,35
"03405";"Wilhelmshaven, Stadt";129;382,174635658915;49300,528
"03451";"Ammerland";801;315,266881398252;252528,772
"03452";"Aurich";1727;286,250646786335;494354,867
"03453";"Cloppenburg";2195;172,726796810934;379135,319
"03454";"Emsland";3641;202,565224938204;737539,984
"03455";"Friesland";701;320,35455064194;224568,54
"03456";"Grafschaft Bentheim";1311;138,340214340198;181364,021
"03457";"Leer";1055;155,455377251185;164005,423
"03458";"Oldenburg";1366;164,822696925329;225147,804
"03459";"Osnabrück";2885;104,802549393414;302355,355
"03460";"Vechta";1303;127,705646201074;166400,457
"03461";"Wesermarsch";798;321,642192982456;256670,47
"03462";"Wittmund";636;281,549172955975;179065,274
"04011";"Bremen, Stadt";919;113,2088781284;104038,959
"04012";"Bremerhaven, Stadt";251;202,145665338645;50738,562
"05111";"Düsseldorf, Stadt";458;106,285622270742;48678,815
"05112";"Duisburg, Stadt";403;1688,69744913151;680545,072
"05113";"Essen, Stadt";1320;18,7898257575758;24802,57
"05114";"Krefeld, Stadt";395;47,5251746835443;18772,444
"05116";"Mönchengladbach, Stadt";406;58,0205221674877;23556,332
"05117";"Mülheim an der Ruhr, Stadt";580;54,5235568965517;31623,663
"05119";"Oberhausen, Stadt";626;79,7625798722045;49931,375
"05120";"Remscheid, Stadt";275;144,652461818182;39779,427
"05122";"Solingen, Klingenstadt";535;40,7025719626168;21775,876
"05124";"Wuppertal, Stadt";825;269,0526;221968,395
"05154";"Kleve";4078;81,7021694458068;333181,447
"05158";"Mettmann";1988;25,1860251509054;50069,818
"05162";"Rhein-Kreis Neuss";2150;60,8372037209302;130799,988
"05166";"Viersen";2064;42,0693037790698;86831,043
"05170";"Wesel";3666;76,7167416803055;281243,575
"05314";"Bonn, Stadt";661;12,615343419062;8338,742
"05315";"Köln, Stadt";1042;117,360608445298;122289,754
"05316";"Leverkusen, Stadt";320;138,1308375;44201,868
"05334";"Städteregion Aachen";2456;85,3352654723127;209583,412
"05358";"Düren";2123;113,55560715968;241078,554
"05362";"Rhein-Erft-Kreis";1957;117,348738375064;229651,481
"05366";"Euskirchen";1633;78,3481083894672;127942,461
"05370";"Heinsberg";1757;91,8180358565737;161324,289
"05374";"Oberbergischer Kreis";1494;22,5218634538153;33647,664
"05378";"Rheinisch-Bergischer Kreis";1200;64,4133641666667;77296,037
"05382";"Rhein-Sieg-Kreis";2666;31,8630423855964;84946,871
"05512";"Bottrop, Stadt";866;67,8415300230947;58750,765
"05513";"Gelsenkirchen, Stadt";487;108,585648870637;52881,211
"05515";"Münster, Stadt";1228;165,992466612378;203838,749
"05554";"Borken";7245;81,6375810904072;591464,275
"05558";"Coesfeld";3401;45,2329185533667;153837,156
"05562";"Recklinghausen";3996;64,1728938938939;256434,884
"05566";"Steinfurt";5427;101,140365948038;548888,766
"05570";"Warendorf";3616;74,9309115044248;270950,176
"05711";"Bielefeld, Stadt";730;43,8962424657534;32044,257
"05754";"Gütersloh";4589;64,4025779036827;295543,43
"05758";"Herford";1006;52,1374990059642;52450,324
"05762";"Höxter";2152;130,812900092937;281509,361
"05766";"Lippe";1994;53,1099518555667;105901,244
"05770";"Minden-Lübbecke";3105;316,374423832528;982342,586
"05774";"Paderborn";3479;146,242532049439;508777,769
"05911";"Bochum, Stadt";792;94,1598560606061;74574,606
"05913";"Dortmund, Stadt";1823;33,729591881514;61489,046
"05914";"Hagen, Stadt der FernUniversität";389;737,351596401028;286829,771
"05915";"Hamm, Stadt";1460;603,955478082192;881774,998
"05916";"Herne, Stadt";111;9,3332972972973;1035,996
"05954";"Ennepe-Ruhr-Kreis";1392;350,606392241379;488044,098
"05958";"Hochsauerlandkreis";1658;52,8716513872135;87661,198
"05962";"Märkischer Kreis";1809;178,159008291874;322289,646
"05966";"Olpe";915;216,69422295082;198275,214
"05970";"Siegen-Wittgenstein";983;77,0756134282808;75765,328
"05974";"Soest";3136;46,4313242984694;145608,633
"05978";"Unna";2393;361,290632678646;864568,484
"06411";"Darmstadt, Wissenschaftsstadt";233;573,001738197425;133509,405
"06412";"Frankfurt am Main, Stadt";673;780,399518573551;525208,876
"06413";"Offenbach am Main, Stadt";111;20,7827027027027;2306,88
"06414";"Wiesbaden, Landeshauptstadt";529;61,4752759924386;32520,421
"06431";"Bergstraße";1628;58,4582751842752;95170,072
"06432";"Darmstadt-Dieburg";1052;54,1675446768061;56984,257
"06433";"Groß-Gerau";859;230,827345750873;198280,69
"06434";"Hochtaunuskreis";576;31,1381979166667;17935,602
"06435";"Main-Kinzig-Kreis";4372;70,3073325709058;307383,658
"06436";"Main-Taunus-Kreis";606;41,2218151815182;24980,42
"06437";"Odenwaldkreis";353;160,628861189802;56701,988
"06438";"Offenbach";1516;19,485901055409;29540,626
"06439";"Rheingau-Taunus-Kreis";740;83,7676689189189;61988,075
"06440";"Wetteraukreis";2763;93,9709391965255;259641,705
"06531";"Gießen";2654;62,0020512434062;164553,444
"06532";"Lahn-Dill-Kreis";2116;57,1426630434783;120913,875
"06533";"Limburg-Weilburg";934;89,7630321199143;83838,672
"06534";"Marburg-Biedenkopf";2201;82,2303661971831;180989,036
"06535";"Vogelsbergkreis";1566;171,682611111111;268854,969
"06611";"Kassel, documenta-Stadt";858;26,3731538461538;22628,166
"06631";"Fulda";4884;45,172075962326;220620,419
"06632";"Hersfeld-Rotenburg";1872;81,5899284188034;152736,346
"06633";"Kassel";2780;90,4422949640288;251429,58
"06634";"Schwalm-Eder-Kreis";3102;55,2708691166989;171450,236
"06635";"Waldeck-Frankenberg";2208;63,1035153985507;139332,562
"06636";"Werra-Meißner-Kreis";1523;62,6513276428102;95417,972
"07111";"Koblenz, kreisfreie Stadt";419;27,8789474940334;11681,279
"07131";"Ahrweiler";744;38,8948266129032;28937,751
"07132";"Altenkirchen (Westerwald)";859;41,3435378346915;35514,099
"07133";"Bad Kreuznach";906;140,237962472406;127055,594
"07134";"Birkenfeld";463;99,5467710583153;46090,155
"07135";"Cochem-Zell";740;76,3094202702703;56468,971
"07137";"Mayen-Koblenz";1640;29,5624;48482,336
"07138";"Neuwied";1031;27,7395053346266;28599,43
"07140";"Rhein-Hunsrück-Kreis";1304;397,786364263804;518713,419
"07141";"Rhein-Lahn-Kreis";547;28,2109140767824;15431,37
"07143";"Westerwaldkreis";1841;105,114325909832;193515,474
"07211";"Trier, kreisfreie Stadt";294;64,8262108843537;19058,906
"07231";"Bernkastel-Wittlich";1090;156,88861559633;171008,591
"07232";"Eifelkreis Bitburg-Prüm";1261;174,411220459952;219932,549
"07233";"Vulkaneifel";641;127,248180967239;81566,084
"07235";"Trier-Saarburg";1017;94,0201435594887;95618,486
"07311";"Frankenthal (Pfalz), kreisfreie Stadt";140;27,1393285714286;3799,506
"07312";"Kaiserslautern, kreisfreie Stadt";357;111,646756302521;39857,892
"07313";"Landau in der Pfalz, kreisfreie Stadt";435;38,1831126436782;16609,654
"07314";"Ludwigshafen am Rhein, kreisfreie Stadt";318;123,301867924528;39209,994
"07315";"Mainz, kreisfreie Stadt";376;53,9216223404255;20274,53
"07316";"Neustadt an der Weinstraße, kreisfreie Stadt";291;27,7002439862543;8060,771
