"start_year";"ags_county";"n";"mean";"sum"
1900;"03155";1;18;18
1900;"03159";2;556;1112
1900;"05754";1;13,608;13,608
1900;"05774";1;660;660
1900;"07133";1;150;150
1900;"07339";1;150;150
1900;"08118";1;225;225
1900;"08128";1;4;4
1900;"08216";1;670;670
1900;"08226";2;12,365;24,73
1900;"08235";5;56,8;284
1900;"08316";1;3;3
1900;"08325";1;340;340
1900;"08336";4;235;940
1900;"08337";2;237;474
1900;"08415";2;42,5;85
1900;"08416";1;177;177
1900;"08437";5;176,8;884
1900;"09174";1;150;150
1900;"09175";3;16;48
1900;"09182";3;18;54
1900;"09183";1;5,5;5,5
1900;"09187";1;55;55
1900;"09273";1;20;20
1900;"09276";4;225,625;902,5
1900;"09372";1;20;20
1900;"09375";2;40;80
1900;"09572";1;2;2
1900;"09677";1;6,75;6,75
1900;"09772";1;12;12
1900;"09774";2;150;300
1900;"10044";1;7,6;7,6
1900;"14521";1;220;220
1901;"08325";1;700;700
1901;"08415";2;27,5;55
1901;"09275";1;245;245
1901;"09577";1;15;15
1901;"09772";5;1969;9845
1903;"08237";1;11;11
1903;"09374";1;18,4;18,4
1903;"09473";1;70;70
1904;"09187";1;39;39
1904;"09775";2;274;548
1904;"14713";1;3;3
1905;"05358";1;288;288
1905;"08335";1;4,9;4,9
1905;"09189";1;6,5;6,5
1905;"09671";1;9,85;9,85
1905;"09775";2;228;456
1906;"06611";1;70;70
1906;"07232";1;95;95
1906;"08426";1;95,5;95,5
1906;"09375";1;38;38
1906;"09472";1;30;30
1906;"09775";2;310;620
1907;"08421";4;312,5;1250
1907;"09172";2;380;760
1907;"09177";1;15;15
1907;"09182";2;215;430
1907;"09272";1;50;50
1907;"09376";1;90;90
1907;"09772";3;1620;4860
1907;"16074";1;280;280
1908;"06632";2;212,5;425
1908;"08116";1;75;75
1908;"08325";1;3,96;3,96
1908;"08337";2;229;458
1908;"08436";1;5000;5000
1908;"09187";1;140;140
1908;"09279";1;5;5
1909;"03159";2;150;300
1909;"08127";2;25,01;50,02
1909;"08216";2;90;180
1909;"08425";2;9,21;18,42
1909;"08436";1;6000;6000
1909;"09181";1;40;40
1909;"09275";1;11,5;11,5
1909;"09374";1;33;33
1909;"09474";1;18,5;18,5
1909;"09572";1;3,52;3,52
1909;"09577";1;27,55;27,55
1910;"01058";1;145;145
1910;"03159";1;170;170
1910;"06440";1;15,2;15,2
1910;"08415";2;90;180
1910;"08426";1;19,2;19,2
1910;"08436";3;22,6466666666667;67,94
1910;"08437";1;98,62;98,62
1910;"09183";1;10;10
1910;"09187";6;77,1666666666667;463
1910;"09189";2;5050;10100
1910;"09271";1;9,2;9,2
1910;"09375";1;22;22
1910;"09376";1;25;25
1910;"09779";1;75;75
1910;"14628";1;70;70
1911;"05566";1;10;10
1911;"05762";1;8;8
1911;"08128";1;20;20
1911;"08317";1;6,46;6,46
1911;"08336";2;137,5;275
1911;"08415";1;95;95
1911;"08435";1;4,6;4,6
1911;"09177";1;11;11
1911;"09473";1;55;55
1911;"09780";1;55;55
1911;"14523";1;4,9;4,9
1912;"01059";1;6;6
1912;"03354";1;8,085;8,085
1912;"05158";1;3,84;3,84
1912;"06631";1;14,24;14,24
1912;"07231";1;15;15
1912;"07319";1;1;1
1912;"07337";1;5,5;5,5
1912;"08118";1;2,7;2,7
1912;"08125";1;0,95;0,95
1912;"08127";2;110;220
1912;"08128";1;59;59
1912;"08317";1;45;45
1912;"08327";1;3;3
1912;"08426";1;13,8;13,8
1912;"08435";1;11,76;11,76
1912;"09171";1;9,99;9,99
1912;"09274";1;6,37;6,37
1912;"09275";1;10;10
1912;"09276";1;7;7
1912;"09372";1;40;40
1912;"09377";1;29;29
1912;"10045";1;4,37;4,37
1912;"12067";1;4,578;4,578
1913;"05124";1;3,96;3,96
1913;"05911";1;3,5;3,5
1913;"05958";1;180;180
1913;"08417";1;8;8
1913;"08425";1;13;13
1913;"09189";1;11;11
1913;"09376";1;9,2;9,2
1913;"09777";1;160;160
1913;"09778";1;160;160
1913;"09780";1;6,05;6,05
1913;"16063";1;4,6;4,6
1914;"01057";2;3,55;7,1
1914;"03353";1;3,5;3,5
1914;"03459";1;3;3
1914;"05166";1;7;7
1914;"06634";1;6,75;6,75
1914;"08417";1;8;8
1914;"09374";1;16;16
1915;"06633";1;1,8;1,8
1915;"07231";1;22;22
1915;"09675";1;9,18;9,18
1915;"09779";1;55;55
1915;"11000";1;9;9
1915;"15084";1;6,12;6,12
1916;"03241";1;4,94;4,94
1916;"08127";1;5,5;5,5
1916;"08316";1;6,55;6,55
1916;"08317";1;8,32;8,32
1916;"08425";1;9,9;9,9
1916;"09477";1;9,88;9,88
1916;"14730";1;3;3
1916;"15083";1;2,6;2,6
1917;"01055";1;5;5
1917;"05962";1;4,56;4,56
1917;"05978";1;4,77;4,77
1917;"08119";1;3;3
1917;"08335";1;3,54;3,54
1917;"08425";1;6,496;6,496
1917;"09190";1;2;2
1917;"09275";1;25;25
1918;"01053";1;5;5
1918;"03159";1;3,6;3,6
1918;"03352";1;2,25;2,25
1918;"06437";1;25;25
1918;"06634";1;3,99;3,99
1918;"07143";1;6;6
1918;"08212";1;0,75;0,75
1918;"08215";1;5;5
1918;"08317";1;3,3;3,3
1918;"08327";1;5;5
1918;"09178";2;7,64;15,28
1919;"05974";1;36;36
1919;"07318";1;9,9;9,9
1919;"08226";2;2,832;5,664
1919;"08311";1;0,75;0,75
1919;"08315";1;19,53;19,53
1919;"08325";3;126;378
1919;"09187";1;4;4
1919;"09562";1;450;450
1919;"09780";1;140;140
1920;"06435";2;5,15;10,3
1920;"08336";1;80;80
1920;"08437";1;220;220
1920;"09161";1;10;10
1920;"09171";2;9289;18578
1920;"09174";1;48;48
1920;"09272";2;53,5;107
1920;"09278";1;10;10
1920;"09477";1;36,48;36,48
1920;"09780";1;93;93
