"start_year";"EinheitenTyp";"Landkreis";"name";"ags_county";"n";"mean";"sum";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"voters_eligible";"voter_turnout";"votes_valid";"votes_cdu_csu";"votes_spd";"votes_greens";"votes_fdp";"vodes_the_left";"votes_afd";"votes_other_parties"
1900;"Wasser";"Northeim";"Northeim";"03155";1;18;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Verbrennung";"Göttingen";"Göttingen";"03159";2;556;1112;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Solareinheit";"Gütersloh";"Gütersloh";"05754";1;13,608;13,608;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Windeinheit";"Paderborn";"Paderborn";"05774";1;660;660;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Bad Kreuznach";"Bad Kreuznach";"07133";1;150;150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Mainz-Bingen";"Mainz-Bingen";"07339";1;150;150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Ludwigsburg";"Ludwigsburg";"08118";1;225;225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Main-Tauber-Kreis";"Main-Tauber-Kreis";"08128";1;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Rastatt";"Rastatt";"08216";1;670;670;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Solareinheit";"Rhein-Neckar-Kreis";"Rhein-Neckar-Kreis";"08226";1;4,73;4,73;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Rhein-Neckar-Kreis";"Rhein-Neckar-Kreis";"08226";1;20;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"Calw";"Calw";"08235";5;56,8;284;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
