"MastrID";"MastrNummer";"Betriebsstatus";"EinheitenTyp";"Lage";"Plz";"Ort";"Bundesland";"Landkreis";"Gemeinde";"ags_municipality";"Breitengrad";"Laengengrad";"Leistungsbegrenzung";"Bruttoleistung";"Nettonennleistung";"Nutzungsbereich";"Energietraeger";"EinspeisungsArt";"start_year";"start_pause";"end_pause";"end_year";"ags_county";"ags_federal_state";"name"
1822597;"SEE991181426935";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Niedersachsen";"offshore";NA;NA;54,212496;5,838861;NA;6000;6000;NA;"Wind";"Volleinspeisung";2017;NA;NA;NA;NA;NA;NA
1826326;"SEE948492783349";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;55,067578;7,174499;NA;3780;3780;NA;"Wind";"Volleinspeisung";2014;NA;NA;NA;NA;NA;NA
1828316;"SEE996261343003";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;55,075622;7,953031;NA;3780;3780;NA;"Wind";"Volleinspeisung";2014;NA;NA;NA;NA;NA;NA
1846693;"SEE990582178207";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Ausschließliche Wirtschaftszone";"offshore";NA;NA;54,949617;13,083867;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1846812;"SEE969452881615";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,957388;13,092806;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1846851;"SEE998929495550";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,950259;13,096126;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1846917;"SEE927962800113";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,964647;13,101726;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1846944;"SEE941324537936";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,958302;13,104696;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1847002;"SEE947813172213";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,951958;13,107649;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1847348;"SEE994749457228";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,972073;13,110516;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1847372;"SEE907944700785";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,966121;13,113295;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1847472;"SEE987105580579";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,960169;13,116073;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1847494;"SEE950049394311";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,554217;13,11885;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1847513;"SEE930689471047";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,978853;13,118792;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1847598;"SEE907941573597";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,973204;13,121432;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1847977;"SEE918176032896";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,961906;13,126708;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1848327;"SEE970100825608";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,967555;13,12407;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1849374;"SEE972924417250";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,956257;13,129344;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1849515;"SEE993126036339";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,985532;13,127045;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1849531;"SEE971642106583";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,980142;13,129562;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1849563;"SEE944918234914";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,974752;13,132079;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1849576;"SEE970507628789";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,969371;13,134594;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1849600;"SEE997500786872";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,963981;13,137109;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1849620;"SEE972154640503";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,95859;13,139623;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1849640;"SEE979327730610";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,992335;13,135139;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1849938;"SEE900924483104";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,98588;13,13821;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1849961;"SEE922009406280";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,979413;13,140997;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1850037;"SEE985188238677";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,973167;13,144104;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1850133;"SEE938506812240";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,966789;13,147068;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1850157;"SEE977729981845";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,960378;13,149928;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1850182;"SEE962333346746";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,99895;13,143623;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1850205;"SEE999275677188";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,993705;13,145769;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1850354;"SEE954288609311";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,988497;13,14818;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1850379;"SEE968291098505";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,983218;13,150681;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1850399;"SEE995408247624";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,978095;13,15306;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1850417;"SEE997643768254";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,972794;13,155639;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
1850454;"SEE945237694755";"In Betrieb";"Windeinheit";"Windkraft auf See";NA;NA;"Mecklenburg-Vorpommern";"offshore";NA;NA;54,967592;13,158026;NA;3600;3600;NA;"Wind";"Volleinspeisung";2015;NA;NA;NA;NA;NA;NA
