"EinheitenTyp";"ags_federal_state";"n";"mean";"sum"
"Biomasse";"01";598;435,611538461538;260495,7
"Braunkohle";"01";0;0;0
"Gas";"01";814;408,120837837838;332210,362
"Gaserzeugungseinheit";"01";2;0;0
"Gasspeichereinheit";"01";0;0;0
"Gasverbrauchseinheit";"01";5;0;0
"Geothermie";"01";2;147;294
"Mineralölprodukte";"01";44;1250,24204545455;55010,65
"Solareinheit";"01";14843;57,4573113252038;852838,872
"Steinkohle";"01";0;0;0
"Stromspeichereinheit";"01";1255;13,8043944223108;17324,515
"Stromverbrauchseinheit";"01";1;0;0
"Verbrennung";"01";4;2325;9300
"Wasser";"01";5;454,8;2274
"Windeinheit";"01";1389;2384,45795536357;3312012,1
"Biomasse";"02";15;460,113333333333;6901,7
"Braunkohle";"02";0;0;0
"Gas";"02";336;132,97055952381;44678,108
"Gaserzeugungseinheit";"02";0;0;0
"Gasspeichereinheit";"02";0;0;0
"Gasverbrauchseinheit";"02";4;0;0
"Geothermie";"02";0;0;0
"Mineralölprodukte";"02";21;549,733333333333;11544,4
"Solareinheit";"02";844;26,367567535545;22254,227
"Steinkohle";"02";0;0;0
"Stromspeichereinheit";"02";203;7,68477832512315;1560,01
"Stromverbrauchseinheit";"02";4;0;0
"Verbrennung";"02";2;3095;6190
"Wasser";"02";1;120;120
"Windeinheit";"02";39;1914,61538461538;74670
"Biomasse";"03";1886;423,247619300106;798245,01
"Braunkohle";"03";0;0;0
"Gas";"03";1983;274,51801412002;544369,222
"Gaserzeugungseinheit";"03";22;0;0
"Gasspeichereinheit";"03";13;0;0
"Gasverbrauchseinheit";"03";12;0;0
"Geothermie";"03";0;0;0
"Mineralölprodukte";"03";225;234,842088888889;52839,47
"Solareinheit";"03";41077;49,5558432212674;2035605,372
"Steinkohle";"03";5;80538;402690
"Stromspeichereinheit";"03";4510;13,7728419068736;62115,517
"Stromverbrauchseinheit";"03";10;0;0
"Verbrennung";"03";6;93,2333333333333;559,4
"Wasser";"03";86;234,545348837209;20170,9
"Windeinheit";"03";2012;2193,700944334;4413726,3
"Biomasse";"04";6;719,666666666667;4318
"Braunkohle";"04";0;0;0
"Gas";"04";125;35,629952;4453,744
"Gaserzeugungseinheit";"04";0;0;0
"Gasspeichereinheit";"04";0;0;0
"Gasverbrauchseinheit";"04";0;0;0
"Geothermie";"04";0;0;0
"Mineralölprodukte";"04";16;333,13125;5330,1
"Solareinheit";"04";894;17,5946051454139;15729,577
"Steinkohle";"04";0;0;0
"Stromspeichereinheit";"04";93;197,269892473118;18346,1
"Stromverbrauchseinheit";"04";0;0;0
"Verbrennung";"04";0;0;0
"Wasser";"04";2;4865;9730
"Windeinheit";"04";34;2849,11764705882;96870
"Biomasse";"05";858;454,552564102564;390006,1
"Braunkohle";"05";0;0;0
"Gas";"05";3234;736,542126159555;2381977,236
"Gaserzeugungseinheit";"05";9;0;0
"Gasspeichereinheit";"05";5;0;0
"Gasverbrauchseinheit";"05";102;0;0
"Geothermie";"05";65;2376,78646153846;154491,12
"Mineralölprodukte";"05";325;1410,58043384615;458438,641
"Solareinheit";"05";83357;31,2903996425015;2608273,843
"Steinkohle";"05";4;503015;2012060
"Stromspeichereinheit";"05";8015;13,4715713038054;107974,644
"Stromverbrauchseinheit";"05";19;0;0
"Verbrennung";"05";27;16355,0392592593;441586,06
"Wasser";"05";91;2009,84175824176;182895,6
"Windeinheit";"05";1284;1970,16331775701;2529689,7
"Biomasse";"06";258;423,033333333333;109142,6
"Braunkohle";"06";0;0;0
"Gas";"06";1582;458,289391908976;725013,818
"Gaserzeugungseinheit";"06";4;0;0
"Gasspeichereinheit";"06";1;0;0
"Gasverbrauchseinheit";"06";7;0;0
"Geothermie";"06";8;37,6485;301,188
"Mineralölprodukte";"06";184;441,144375;81170,565
"Solareinheit";"06";36638;35,4996732081446;1300637,027
"Steinkohle";"06";2;61500;123000
"Stromspeichereinheit";"06";3394;11,5567395403654;39223,574
"Stromverbrauchseinheit";"06";2;0;0
"Verbrennung";"06";8;6894,95;55159,6
"Wasser";"06";107;210,742056074766;22549,4
"Windeinheit";"06";528;2308,18215909091;1218720,18
"Biomasse";"07";183;469,531147540984;85924,2
"Braunkohle";"07";0;0;0
"Gas";"07";847;107,319787485242;90899,86
"Gaserzeugungseinheit";"07";3;0;0
"Gasspeichereinheit";"07";0;0;0
"Gasverbrauchseinheit";"07";0;0;0
"Geothermie";"07";9;131,5;1183,5
"Mineralölprodukte";"07";77;325,702727272727;25079,11
"Solareinheit";"07";26200;42,3357966030534;1109197,871
"Steinkohle";"07";0;0;0
"Stromspeichereinheit";"07";2625;11,9579462857143;31389,609
"Stromverbrauchseinheit";"07";2;0;0
"Verbrennung";"07";8;3342,25375;26738,03
"Wasser";"07";33;189,981818181818;6269,4
"Windeinheit";"07";699;2341,52861230329;1636728,5
"Biomasse";"08";884;409,63221719457;362114,88
"Braunkohle";"08";1;1500;1500
"Gas";"08";3040;142,923799013158;434488,349
"Gaserzeugungseinheit";"08";10;0;0
"Gasspeichereinheit";"08";0;0;0
"Gasverbrauchseinheit";"08";8;0;0
"Geothermie";"08";16;178,5996875;2857,595
"Mineralölprodukte";"08";435;507,45324137931;220742,16
"Solareinheit";"08";97011;41,7158200719506;4046893,421
"Steinkohle";"08";1;26900;26900
"Stromspeichereinheit";"08";10485;10,2526956604673;107499,514
"Stromverbrauchseinheit";"08";11;0;0
"Verbrennung";"08";6;175,555;1053,33
"Wasser";"08";432;471,983981481481;203897,08
"Windeinheit";"08";268;2478,69232462687;664289,543
"Biomasse";"09";2569;327,641089918256;841709,96
"Braunkohle";"09";0;0;0
"Gas";"09";2474;437,691404203719;1082848,534
"Gaserzeugungseinheit";"09";12;0;0
"Gasspeichereinheit";"09";1;0;0
"Gasverbrauchseinheit";"09";27;0;0
"Geothermie";"09";16;795,85;12733,6
"Mineralölprodukte";"09";391;567,65074168798;221951,44
"Solareinheit";"09";113771;38,8163707974791;4416177,322
"Steinkohle";"09";2;178700;357400
"Stromspeichereinheit";"09";12865;16,8662727555383;216984,599
"Stromverbrauchseinheit";"09";8;0;0
"Verbrennung";"09";26;2664,39230769231;69274,2
"Wasser";"09";855;426,541858479532;364693,289
"Windeinheit";"09";463;2326,72196544276;1077272,27
"Biomasse";"10";15;377,333333333333;5660
"Braunkohle";"10";0;0;0
"Gas";"10";113;1033,05150442478;116734,82
"Gaserzeugungseinheit";"10";1;0;0
"Gasspeichereinheit";"10";0;0;0
"Gasverbrauchseinheit";"10";0;0;0
"Geothermie";"10";19;2856,47368421053;54273
"Mineralölprodukte";"10";11;230,686363636364;2537,55
"Solareinheit";"10";7209;30,7740280205299;221849,968
"Steinkohle";"10";1;53000;53000
"Stromspeichereinheit";"10";377;4,2667374005305;1608,56
"Stromverbrauchseinheit";"10";2;0;0
"Verbrennung";"10";0;0;0
"Wasser";"10";4;60,225;240,9
"Windeinheit";"10";97;2477,71649484536;240338,5
"Biomasse";"11";4;105;420
"Braunkohle";"11";0;0;0
"Gas";"11";432;798,936733796296;345140,669
"Gaserzeugungseinheit";"11";0;0;0
"Gasspeichereinheit";"11";0;0;0
"Gasverbrauchseinheit";"11";0;0;0
"Geothermie";"11";0;0;0
"Mineralölprodukte";"11";28;680,214285714286;19046
"Solareinheit";"11";1477;29,4227569397427;43457,412
"Steinkohle";"11";1;9500;9500
"Stromspeichereinheit";"11";304;11,8552664473684;3604,001
"Stromverbrauchseinheit";"11";2;0;0
"Verbrennung";"11";3;2232;6696
"Wasser";"11";0;0;0
"Windeinheit";"11";2;3785;7570
"Biomasse";"12";250;688,0366;172009,15
"Braunkohle";"12";11;416545,454545455;4582000
"Gas";"12";360;1438,10464722222;517717,673
"Gaserzeugungseinheit";"12";4;0;0
"Gasspeichereinheit";"12";1;0;0
"Gasverbrauchseinheit";"12";3;0;0
"Geothermie";"12";1;1600;1600
"Mineralölprodukte";"12";28;8619,71785714286;241352,1
"Solareinheit";"12";9489;166,272591843187;1577760,624
"Steinkohle";"12";0;0;0
"Stromspeichereinheit";"12";1683;8,40168686868687;14140,039
"Stromverbrauchseinheit";"12";9;0;0
"Verbrennung";"12";1;17500;17500
"Wasser";"12";5;287,868;1439,34
"Windeinheit";"12";1276;2102,00090125392;2682153,15
"Biomasse";"13";282;556,294326241135;156875
"Braunkohle";"13";0;0;0
"Gas";"13";213;755,687915492958;160961,526
"Gaserzeugungseinheit";"13";8;0;0
"Gasspeichereinheit";"13";0;0;0
"Gasverbrauchseinheit";"13";2;0;0
"Geothermie";"13";1;330;330
"Mineralölprodukte";"13";17;160,858823529412;2734,6
"Solareinheit";"13";4573;167,718794664334;766978,048
"Steinkohle";"13";0;0;0
"Stromspeichereinheit";"13";388;5,30145103092783;2056,963
"Stromverbrauchseinheit";"13";1;0;0
"Verbrennung";"13";1;5280;5280
"Wasser";"13";5;217,98;1089,9
"Windeinheit";"13";644;2169,53136645963;1397178,2
"Biomasse";"14";215;507,359302325581;109082,25
"Braunkohle";"14";9;390337,777777778;3513040
"Gas";"14";811;109,761937114673;89016,931
"Gaserzeugungseinheit";"14";5;0;0
"Gasspeichereinheit";"14";0;0;0
"Gasverbrauchseinheit";"14";3;0;0
"Geothermie";"14";3;332,333333333333;997
"Mineralölprodukte";"14";93;204,648709677419;19032,33
"Solareinheit";"14";10359;86,3660161212472;894665,561
"Steinkohle";"14";0;0;0
"Stromspeichereinheit";"14";1464;9,58324385245902;14029,869
"Stromverbrauchseinheit";"14";2;0;0
"Verbrennung";"14";2;3655;7310
"Wasser";"14";110;187,619090909091;20638,1
"Windeinheit";"14";299;1624,25284280936;485651,6
"Biomasse";"15";254;525,837401574803;133562,7
"Braunkohle";"15";0;0;0
"Gas";"15";459;820,596664488017;376653,869
"Gaserzeugungseinheit";"15";13;0;0
"Gasspeichereinheit";"15";3;0;0
"Gasverbrauchseinheit";"15";3;0;0
"Geothermie";"15";3;77;231
"Mineralölprodukte";"15";59;220,31793220339;12998,758
"Solareinheit";"15";7809;139,317337303112;1087929,087
"Steinkohle";"15";0;0;0
"Stromspeichereinheit";"15";676;10,3064304733728;6967,147
"Stromverbrauchseinheit";"15";0;0;0
"Verbrennung";"15";4;809,0125;3236,05
"Wasser";"15";26;341,346153846154;8875
"Windeinheit";"15";873;1871,34593356243;1633685
"Biomasse";"16";164;559,237804878049;91715
"Braunkohle";"16";0;0;0
"Gas";"16";451;517,950554323725;233595,7
"Gaserzeugungseinheit";"16";2;0;0
"Gasspeichereinheit";"16";0;0;0
"Gasverbrauchseinheit";"16";2;0;0
"Geothermie";"16";7;211,714285714286;1482
"Mineralölprodukte";"16";54;229,915925925926;12415,46
"Solareinheit";"16";7591;95,3787360031616;724019,985
"Steinkohle";"16";0;0;0
"Stromspeichereinheit";"16";734;4,19888964577657;3081,985
"Stromverbrauchseinheit";"16";2;0;0
"Verbrennung";"16";4;10541,5;42166
"Wasser";"16";40;110,655;4426,2
"Windeinheit";"16";294;2366,25323129252;695678,45
"Biomasse";NA;0;0;0
"Braunkohle";NA;0;0;0
"Gas";NA;0;0;0
"Gaserzeugungseinheit";NA;0;0;0
"Gasspeichereinheit";NA;0;0;0
"Gasverbrauchseinheit";NA;0;0;0
"Geothermie";NA;0;0;0
"Mineralölprodukte";NA;0;0;0
"Solareinheit";NA;0;0;0
"Steinkohle";NA;0;0;0
"Stromspeichereinheit";NA;0;0;0
"Stromverbrauchseinheit";NA;0;0;0
"Verbrennung";NA;0;0;0
"Wasser";NA;0;0;0
"Windeinheit";NA;833;5259,81512605042;4381426
