"start_year";"EinheitenTyp";"ags_federal_state";"n";"mean";"sum"
1900;"Solareinheit";"05";1;13,608;13,608
1900;"Solareinheit";"08";1;4,73;4,73
1900;"Solareinheit";"09";1;6,75;6,75
1900;"Solareinheit";"10";1;7,6;7,6
1900;"Verbrennung";"03";2;556;1112
1900;"Wasser";"03";1;18;18
1900;"Wasser";"07";2;150;300
1900;"Wasser";"08";25;164,24;4106
1900;"Wasser";"09";21;78,5238095238095;1649
1900;"Wasser";"14";1;220;220
1900;"Windeinheit";"05";1;660;660
1901;"Wasser";"08";3;251,666666666667;755
1901;"Wasser";"09";7;1443,57142857143;10105
1903;"Wasser";"08";1;11;11
1903;"Wasser";"09";2;44,2;88,4
1904;"Solareinheit";"14";1;3;3
1904;"Wasser";"09";3;195,666666666667;587
1905;"Solareinheit";"08";1;4,9;4,9
1905;"Verbrennung";"05";1;288;288
1905;"Wasser";"09";4;118,0875;472,35
1906;"Verbrennung";"06";1;70;70
1906;"Wasser";"07";1;95;95
1906;"Wasser";"08";1;95,5;95,5
1906;"Wasser";"09";4;172;688
1907;"Wasser";"08";4;312,5;1250
1907;"Wasser";"09";10;620,5;6205
1907;"Wasser";"16";1;280;280
1908;"Solareinheit";"08";2;2501,98;5003,96
1908;"Wasser";"06";2;212,5;425
1908;"Wasser";"08";3;177,666666666667;533
1908;"Wasser";"09";2;72,5;145
1909;"Solareinheit";"08";5;1213,688;6068,44
1909;"Solareinheit";"09";2;15,535;31,07
1909;"Stromverbrauchseinheit";"02";1;NA;NA
1909;"Wasser";"03";2;150;300
1909;"Wasser";"08";2;90;180
1909;"Wasser";"09";4;25,75;103
1910;"Solareinheit";"06";1;15,2;15,2
1910;"Solareinheit";"08";5;37,152;185,76
1910;"Solareinheit";"09";1;9,2;9,2
1910;"Wasser";"01";1;145;145
1910;"Wasser";"03";1;170;170
1910;"Wasser";"08";2;90;180
1910;"Wasser";"09";12;891,25;10695
1910;"Wasser";"14";1;70;70
1911;"Solareinheit";"05";2;9;18
1911;"Solareinheit";"08";2;5,53;11,06
1911;"Solareinheit";"14";1;4,9;4,9
1911;"Wasser";"08";4;97,5;390
1911;"Wasser";"09";3;40,3333333333333;121
1912;"Solareinheit";"01";1;6;6
1912;"Solareinheit";"03";1;8,085;8,085
1912;"Solareinheit";"05";1;3,84;3,84
1912;"Solareinheit";"06";1;14,24;14,24
1912;"Solareinheit";"07";2;3,25;6,5
1912;"Solareinheit";"08";5;18,052;90,26
1912;"Solareinheit";"09";2;8,18;16,36
1912;"Solareinheit";"10";1;4,37;4,37
1912;"Solareinheit";"12";1;4,578;4,578
1912;"Verbrennung";"08";1;0,95;0,95
1912;"Wasser";"07";1;15;15
