"start_year";"ags_federal_state";"n";"mean";"sum"
1900;"03";3;376,666666666667;1130
1900;"05";2;336,804;673,608
1900;"07";2;150;300
1900;"08";26;158,105;4110,73
1900;"09";22;75,2613636363636;1655,75
1900;"10";1;7,6;7,6
1900;"14";1;220;220
1901;"08";3;251,666666666667;755
1901;"09";7;1443,57142857143;10105
1903;"08";1;11;11
1903;"09";2;44,2;88,4
1904;"09";3;195,666666666667;587
1904;"14";1;3;3
1905;"05";1;288;288
1905;"08";1;4,9;4,9
1905;"09";4;118,0875;472,35
1906;"06";1;70;70
1906;"07";1;95;95
1906;"08";1;95,5;95,5
1906;"09";4;172;688
1907;"08";4;312,5;1250
1907;"09";10;620,5;6205
1907;"16";1;280;280
1908;"06";2;212,5;425
1908;"08";5;1107,392;5536,96
1908;"09";2;72,5;145
1909;"03";2;150;300
1909;"08";7;892,634285714286;6248,44
1909;"09";6;22,345;134,07
1910;"01";1;145;145
1910;"03";1;170;170
1910;"06";1;15,2;15,2
1910;"08";7;52,2514285714286;365,76
1910;"09";13;823,4;10704,2
1910;"14";1;70;70
1911;"05";2;9;18
1911;"08";6;66,8433333333333;401,06
1911;"09";3;40,3333333333333;121
1911;"14";1;4,9;4,9
1912;"01";1;6;6
1912;"03";1;8,085;8,085
1912;"05";1;3,84;3,84
1912;"06";1;14,24;14,24
1912;"07";3;7,16666666666667;21,5
1912;"08";9;39,5788888888889;356,21
1912;"09";6;17,06;102,36
1912;"10";1;4,37;4,37
1912;"12";1;4,578;4,578
1913;"05";3;62,4866666666667;187,46
1913;"08";2;10,5;21
1913;"09";5;69,25;346,25
1913;"16";1;4,6;4,6
1914;"01";2;3,55;7,1
1914;"03";2;3,25;6,5
1914;"05";1;7;7
1914;"06";1;6,75;6,75
1914;"08";1;8;8
1914;"09";1;16;16
1915;"06";1;1,8;1,8
1915;"07";1;22;22
1915;"09";2;32,09;64,18
1915;"11";1;9;9
1915;"15";1;6,12;6,12
1916;"03";1;4,94;4,94
1916;"08";4;7,5675;30,27
1916;"09";1;9,88;9,88
1916;"14";1;3;3
1916;"15";1;2,6;2,6
1917;"01";1;5;5
1917;"05";2;4,665;9,33
1917;"08";3;4,34533333333333;13,036
1917;"09";2;13,5;27
1918;"01";1;5;5
1918;"03";2;2,925;5,85
1918;"06";2;14,495;28,99
1918;"07";1;6;6
1918;"08";4;3,5125;14,05
1918;"09";2;7,64;15,28
1919;"05";1;36;36
1919;"07";1;9,9;9,9
1919;"08";7;57,7062857142857;403,944
1919;"09";3;198;594
1920;"06";2;5,15;10,3
1920;"08";2;150;300
1920;"09";9;2098,05333333333;18882,48
1921;"05";3;600;1800
1921;"06";2;2400;4800
1921;"08";1;60;60
1921;"09";5;69,16;345,8
1922;"03";1;25;25
1922;"05";1;400;400
1922;"08";4;104,75;419
1922;"09";11;1271,72727272727;13989
1923;"05";4;170,5;682
1923;"08";5;606,4;3032
1923;"09";5;99,4;497
1924;"01";2;1050;2100
1924;"08";5;2943;14715
1924;"09";7;524,714285714286;3673
1924;"16";1;30;30
1925;"05";3;650;1950
1925;"06";2;120;240
1925;"08";1;660;660
1925;"09";6;40,3333333333333;242
1926;"08";5;723;3615
1926;"09";4;107,9475;431,79
1927;"05";3;400;1200
1927;"08";5;237,4;1187
1927;"09";3;25,6666666666667;77
1928;"03";2;62,5;125
1928;"05";1;176;176
1928;"06";1;200;200
1928;"08";3;137,333333333333;412
1928;"09";3;83;249
1929;"08";1;45;45
1929;"09";4;21,125;84,5
1930;"08";3;9456,66666666667;28370
1930;"09";3;26,7;80,1
1931;"08";2;28150;56300
1931;"09";2;35;70
1932;"03";2;685;1370
1932;"08";3;55,6666666666667;167
1932;"09";3;39;117
1933;"07";1;230;230
1933;"09";3;228;684
1934;"03";1;4700;4700
1934;"05";1;110;110
1934;"08";1;27;27
1934;"09";2;31,5;63
1935;"09";4;127;508
1936;"08";6;760;4560
1936;"09";4;95,5;382
1937;"08";2;120;240
1937;"09";1;220;220
1938;"03";3;540;1620
1938;"08";1;70;70
1938;"09";7;889,714285714286;6228
1938;"14";1;413;413
1939;"08";3;32,1666666666667;96,5
1939;"09";2;54,5;109
1940;"08";3;49,3333333333333;148
1940;"09";2;189;378
1941;"03";3;26333,3333333333;79000
1941;"08";1;1,05;1,05
1941;"09";2;68,875;137,75
1942;"09";4;327,25;1309
1943;"06";1;320;320
1943;"09";3;1186,66666666667;3560
1944;"08";1;65;65
1944;"09";4;1115;4460
1945;"09";1;9;9
1946;"03";2;110;220
1946;"06";1;15;15
1946;"09";3;170,793333333333;512,38
1947;"08";1;34;34
1947;"09";1;34;34
1948;"03";1;150;150
1948;"09";8;439,9375;3519,5
1949;"05";1;2025;2025
1949;"06";1;120;120
1949;"08";4;86,875;347,5
1949;"09";5;26,672;133,36
1950;"05";1;1;1
1950;"08";5;19,744;98,72
1950;"09";18;117,777777777778;2120
1951;"05";1;12000;12000
1951;"08";1;2,5;2,5
1951;"09";5;282,96;1414,8
1952;"05";1;63;63
1952;"09";6;1688,5;10131
1953;"01";1;1,484;1,484
1953;"03";1;30,36;30,36
1953;"06";1;200;200
1953;"08";2;4015;8030
1953;"09";1;33;33
1954;"05";1;10000;10000
1954;"08";6;21,2933333333333;127,76
1954;"09";10;1309,05;13090,5
1954;"10";1;27,6;27,6
1954;"12";1;67400;67400
1955;"04";1;30;30
1955;"05";2;602,25;1204,5
1955;"08";2;65;130
1955;"09";17;635,606470588235;10805,31
1956;"03";1;11;11
1956;"06";1;240;240
1956;"08";5;210;1050
1956;"09";11;849,363636363636;9343
1957;"03";3;1403,33333333333;4210
1957;"06";1;205;205
1957;"08";1;270;270
1957;"09";6;19,75;118,5
1958;"03";1;4,1;4,1
1958;"05";2;5,7;11,4
1958;"08";1;130;130
1958;"09";13;39,4276923076923;512,56
1959;"05";1;6,3;6,3
1959;"07";1;6;6
1959;"09";19;182,315789473684;3464
1960;"05";2;29,45;58,9
1960;"06";1;30;30
1960;"08";10;1562,717;15627,17
1960;"09";25;2040,3488;51008,72
1961;"01";1;44310;44310
1961;"03";1;260;260
1961;"09";18;986,5;17757
1962;"05";1;90000;90000
1962;"06";1;3,8;3,8
1962;"08";3;22,6666666666667;68
1962;"09";18;861,686666666667;15510,36
1963;"03";1;40;40
1963;"05";2;16,601;33,202
1963;"06";2;7,4;14,8
1963;"08";2;7601,5;15203
1963;"09";13;632,268461538462;8219,49
1964;"05";1;1120;1120
1964;"06";2;375;750
1964;"07";1;45;45
1964;"08";1;3;3
1964;"09";12;2110,75;25329
1964;"11";1;9500;9500
1964;"14";1;800;800
1965;"05";8;3768,016;30144,128
1965;"06";2;4,85;9,7
1965;"07";1;7,5;7,5
1965;"08";2;2812,5;5625
1965;"09";11;960,740909090909;10568,15
1965;"12";1;987,5;987,5
1966;"03";3;286;858
1966;"05";1;2,51;2,51
1966;"06";2;127,5;255
1966;"08";2;143,15;286,3
1966;"09";3;40;120
1967;"05";3;469,933333333333;1409,8
1967;"06";2;3375;6750
1967;"08";3;18,5166666666667;55,55
1967;"09";9;82,7777777777778;745
1968;"05";1;320;320
1968;"08";3;252,333333333333;757
1968;"09";3;37,6666666666667;113
1968;"13";1;4;4
1968;"16";1;500;500
1969;"01";1;20;20
1969;"05";2;69000;138000
1969;"07";1;5;5
1969;"08";3;55,8666666666667;167,6
1969;"09";5;41;205
1969;"14";1;60;60
1970;"03";4;805,5;3222
1970;"06";2;700;1400
1970;"08";2;74;148
1970;"09";5;971,1;4855,5
1971;"05";2;465;930
1971;"06";2;108,25;216,5
1971;"08";3;10898,6666666667;32696
1971;"09";5;443,06;2215,3
1972;"03";3;244;732
1972;"06";1;238,5;238,5
1972;"08";5;61,7;308,5
1972;"09";2;103;206
1972;"10";1;275;275
1972;"15";1;306;306
1973;"03";1;180;180
1973;"05";3;480;1440
1973;"07";1;206;206
1973;"08";3;197,5;592,5
1973;"09";5;24,45;122,25
1974;"05";1;40200;40200
1974;"07";1;38;38
1974;"08";4;269,75;1079
1974;"09";5;9,2;46
1975;"03";1;212;212
1975;"05";6;40029,3333333333;240176
1975;"09";6;94,9333333333333;569,6
