"start_year";"EinheitenTyp";"ags_federal_state";"n";"mean";"sum";"pop_obliged_to_income_taxes";"total_income_in_1000_euro";"total_taxes_on_income_in_1000_euro";"voters_eligible";"voter_turnout";"votes_valid";"votes_cdu_csu";"votes_spd";"votes_greens";"votes_fdp";"votes_the_left";"votes_afd";"votes_other_parties"
1900;"Mineralölprodukte";"03";2;556;1112;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"03";1;18;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Solareinheit";"05";1;13,608;13,608;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Windeinheit";"05";1;660;660;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"07";2;150;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Solareinheit";"08";1;4,73;4,73;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"08";25;164,24;4106;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Solareinheit";"09";1;6,75;6,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"09";21;78,5238095238095;1649;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Solareinheit";"10";1;7,6;7,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1900;"Wasser";"14";1;220;220;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1901;"Wasser";"08";3;251,666666666667;755;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1901;"Wasser";"09";7;1443,57142857143;10105;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1903;"Wasser";"08";1;11;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1903;"Wasser";"09";2;44,2;88,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1904;"Wasser";"09";3;195,666666666667;587;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1904;"Solareinheit";"14";1;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
